Product Type,Folder Name
Engagement Rings,Engagement_Rings
Wedding Bands,Wedding_Bands
Wedding Sets,Wedding_Sets
Men Rings,Men_Rings
Fashion Rings,Fashion_Rings
Watches,Watches
Earrings,Earrings
Necklaces,Necklaces
Bracelets ,Bracelets 
Accessories,Accessories
Charms,Charms
Pens,Pens
