Baume and Mercier,baumeandmercier,4000000,4499999
Chopard,chopard,18500000,18999999
Michele,michele,9500000,9999999
Montplanc pen,montplancpen,10500000,10999999
Raymond Weil,raymondweil,13500000,13999999
A. Jaffe,ajaffe,20000000,20499999
Montblanc Watches,montblancwatches,19000000,19499999
