Gender
Necklace_Type
Chain_Type
Pendant_Type
Number_of_Strand
Necklace_Length_-_cm
Necklace_Length_-_inch
Stones_Type
Stones_Setting
Stones_Shape
Stones_Average_Clarity
Stones_Average_Color
Stones_Total_Weight_-_ct
Number_of_Stones
Clasp_Type
Metal_Type_(Necklace)
Metal_Type_Availability_(Necklace)
Metal_Type_(Pendant)
Metal_Type_Availability_(Pendant)
Warranty
