Product Type,Folder Name
Engagement Rings,Engagement_Rings
Wedding Bands,Wedding_Bands
Wedding Sets,Wedding_Sets
Mens,Mens
Fashion Rings,Fashion_Rings
Watches,Watches
Stud Earrings,Stud_Earrings
Earrings,Earrings
Necklaces,Necklaces
Bracelets ,Bracelets 
Pens,Pens
